PWSID,Water System,County,Link to Conservation Plan,CCR Website Link,Contact Phone,Email,,,,,Arent in the new dataset so cannot get a good PWSID- decided to omit
03-26-1935,Falcon,CUMBERLAND,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/03-26-035,,,,,,,,
01-23-1935,Fallston,CLEVELAND,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/03-19-025,,,,,,,,
04-74-020,Farmville,PITT,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/02-01-030,,,,,,,,
03-26-2010,Fayetteville,CUMBERLAND,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-25-040,https://www.faypwc.com,910-483-1382,customer.service@faypwc.com,,,,,
04-25-1940,First Craven SD,CRAVEN,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-81-010,,,,,,,,
03-51-195,FLOWERS PLANTATION,JOHNSTON,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/03-62-015,,,,,,,,
01-81-010,Forest City,RUTHERFORD,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/02-35-030,,,,,,,,
04-96-060,Fork Township SD,WAYNE,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-40-106,,,,,,,,
04-74-050,Fountain,PITT,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-31-060,,,,,,,,
03-51-035,Four Oaks,JOHNSTON,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/02-41-010,,,,,,,,
03-63-479,Foxfire Village,MOORE,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-74-035,,,,,,,,
01-57-010,Franklin,MACON,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-18-151,,,,,,,,
02-35-030,Franklin County WSA,FRANKLIN,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/02-35-010,,,,,,,,
02-35-010,Franklinton,FRANKLIN,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-36-010,,,,,,,,
02-76-035,Franklinville,RANDOLPH,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-74-055,,,,,,,,
04-96-025,Fremont,WAYNE,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-59-025,,,,,,,,
03-92-055,Fuquay-Varina,WAKE,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/02-29-035,,,,,,,,
03-82-020,Garland,SAMPSON,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-16-025,,,,,,,,
01-36-010,Gastonia,GASTON,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-96-010,https://www.cityofgastonia.com/doing-business/doing-business-utility-customer-service.html,704-869-1929,joea@cityofgastonia.com,,,,,
04-37-020,Gates County,GATES,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/03-43-045,,,,,,,,
03-83-015,Gibson,SCOTLAND,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-46-040,,,,,,,,
02-41-025,Gibsonville,GUILFORD,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-64-010,,,,,,,,
03-26-1950,Godwin,CUMBERLAND,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-13-025,,,,,,,,
04-96-010,Goldsboro,WAYNE,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/02-01-015,,,,,,,,
03-19-2025,Goldston-Gulf SD,CHATHAM,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-72-010,,,,,,,,
02-01-2015,Graham,ALAMANCE,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-74-010,,,,,,,,
01-14-1930,Granite Falls,CALDWELL,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-23-045,,,,,,,,
02-01-1930,Green Level,ALAMANCE,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-46-045,,,,,,,,
04-40-106,Greene County,GREENE,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-22-126,,,,,,,,
04-31-060,Greenevers,DUPLIN,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/02-41-020,,,,,,,,
02-41-010,Greensboro,GUILFORD,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-57-015,https://www.greensboro-nc.gov/departments/water-resources/customer-service-for-residents-and-businesses,336-373-2489,NA,,,,,
04-74-010,Greenville,PITT,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-42-030,https://www.guc.com/customer-service/water,2527527166,NA,,,,,
04-74-035,Grifton,PITT,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-42-035,,,,,,,,
04-74-055,Grimesland,PITT,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/03-47-025,,,,,,,,
01-23-1930,Grover,CLEVELAND,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-55-010,,,,,,,,
04-42-030,Halifax,HALIFAX,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-42-040,,,,,,,,
04-42-040,Halifax County,HALIFAX,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-49-185,,,,,,,,
04-59-025,Hamilton,MARTIN,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/03-92-050,,,,,,,,
03-77-010,Hamlet Water System,,,,,,,,,,
02-29-035,Handy SD,DAVIDSON,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-40-020,,,,,,,,
01-49-185,HARBOUR/POINT S/D,IREDELL,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-25-015,,,,,,,,
04-16-2025,Harkers Island WSD,CARTERET,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-58-020,,,,,,,,
03-43-045,Harnett County,HARNETT,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-48-010,https://www.harnettwater.org,910-893-7575,utilitybilling@harnett.org,,,,,
04-46-040,Harrellsville,HERTFORD,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-12-060,,,,,,,,
01-13-2025,Harrisburg,CABARRUS,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-66-010,,,,,,,,
04-25-2015,Havelock,CRAVEN,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-18-010,,,,,,,,
02-01-2020,Haw River,ALAMANCE,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/03-53-010,,,,,,,,
02-91-010,Henderson,VANCE,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/03-19-010,,,,,,,,
01-45-010,Hendersonville,HENDERSON,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/02-29-020,https://ci.henderson.nc.us/departments/public_works/water_and_sewer_utilities/index.php,252-431-6030,,,,,,
04-72-010,Hertford,PERQUIMANS,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/02-41-030,,,,,,,,
04-46-045,Hertford County,HERTFORD,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-59-030,,,,,,,,
01-22-0126,Hiawassee - North Carolina System,CLAY,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-31-030,,,,,,,,
01-18-2010,Hickory,CATAWBA,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-36-075,https://www.hickorync.gov/content/public-utilities,828-32307427,NA,,,,,
02-41-020,High Point,GUILFORD,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/03-51-030,https://www.highpointnc.gov/344/About-Your-Utility-Bill-Services,336-883-3111,NA,,,,,
01-36-075,High Shoals,GASTON,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/03-68-015,,,,,,,,
01-57-015,Highlands,MACON,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-54-010,,,,,,,,
03-68-015,Hillsborough,ORANGE,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-67-010,,,,,,,,
04-42-035,Hobgood,HALIFAX,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-54-015,,,,,,,,
03-47-025,Hoke County RWS,HOKE,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/02-35-108,,,,,,,,
03-47-030,Hoke County,,,,,,,,,,
04-10-1960,Holden Beach,BRUNSWICK,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-24-045,,,,,,,,
03-92-050,Holly Springs,WAKE,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-80-038,,,,,,,,
04-40-020,Hookerton,GREENE,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-05-020,,,,,,,,
01-58-020,Hot Springs,MADISON,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/02-29-010,,,,,,,,
04-48-010,Hyde County,HYDE,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/03-04-025,,,,,,,,
01-12-1960,Icard Township WC,BURKE,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/03-43-025,,,,,,,,
01-49-025,Iredell Water Corporation,IREDELL,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-06-104,,,,,,,,
04-66-010,Jackson,NORTHAMPTON,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/03-26-045,,,,,,,,
04-67-010,Jacksonville,ONSLOW,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/03-51-070,,,,,,,,
02-41-030,Jamestown,GUILFORD,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-42-028,,,,,,,,
04-59-030,Jamesville,MARTIN,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/02-35-015,,,,,,,,
01-05-2015,Jefferson,ASHE,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-36-060,,,,,,,,
03-51-070,Johnston County,JOHNSTON,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-52-020,,,,,,,,
04-52-020,Jones County,JONES,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-44-035,,,,,,,,
02-99-010,Jonesville,YADKIN,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-90-413,,,,,,,,
01-44-035,Junaluska SD,HAYWOOD,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-80-065,,,,,,,,
01-80-065,Kannapolis,CABARRUS,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-28-015,,,,,,,,
04-31-030,Kenansville,DUPLIN,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-98-030,,,,,,,,
03-51-030,Kenly,JOHNSTON,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-33-020,,,,,,,,
04-28-2015,Kill Devil Hills,DARE,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-60-156,,,,,,,,
02-85-010,King,STOKES,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-90-015,,,,,,,,
01-23-2020,Kings Mountain,CLEVELAND,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-36-045,,,,,,,,
04-54-010,Kinston,LENOIR,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-31-035,,,,,,,,
04-65-025,Kure Beach,NEW HANOVER,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/03-83-010,,,,,,,,
04-54-015,La Grange,LENOIR,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-28-020,,,,,,,,
01-81-020,Lake Lure,RUTHERFORD,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/10-56-032,,,,,,,,
02-35-108,Lake Royale Sudivision,FRANKLIN,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-58-010,,,,,,,,
01-38-105,Lake Santeelah,,,,,,,,,,
04-24-1945,Lake Waccamaw,COLUMBUS,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-58-015,,,,,,,,
01-60-156,Lamp Lighter South Danby,MECKLENBURG,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-14-010,,,,,,,,
01-80-038,Landis,ROWAN,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-40-015,,,,,,,,
01-05-2020,Lansing,ASHE,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/03-78-035,,,,,,,,
01-45-030,Laurel Park,HENDERSON,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-95-101,,,,,,,,
03-83-010,Laurinburg,SCOTLAND,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/02-76-025,,,,,,,,
01-23-1945,Lawndale,CLEVELAND,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/02-30-010,,,,,,,,
01-14-2010,Lenoir,CALDWELL,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-44-040,,,,,,,,
70-10-058,Leland,,,,,,,,,,
02-29-010,Lexington,DAVIDSON,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/02-79-025,,,,,,,,
02-76-025,Liberty,RANDOLPH,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-18-030,,,,,,,,
03-04-2025,Lilesville,ANSON,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-52-010,,,,,,,,
03-43-025,Lillington,HARNETT,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/02-01-018,,,,,,,,
01-55-035,Lincoln County,LINCOLN,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-56-010,,,,,,,,
01-55-010,Lincolnton,LINCOLN,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-90-010,,,,,,,,
03-26-1945,Linden,CUMBERLAND,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-16-198,,,,,,,,
01-06-0104,Linvilleland Harbor,AVERY,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-11-484,,,,,,,,
04-42-028,Littleton,HALIFAX,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/03-51-045,,,,,,,,
01-18-2025,Long View,CATAWBA,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/03-78-030,,,,,,,,
02-35-015,Louisburg,FRANKLIN,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/40-51-008,,,,,,,,
01-36-060,Lowell,GASTON,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-64-050,,,,,,,,
04-98-030,Lucama,WILSON,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/02-17-015,,,,,,,,
03-78-010,Lumberton,ROBESON,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-65-199,,,,,,,,
04-33-020,Macclesfield,EDGECOMBE,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/03-62-010,,,,,,,,
02-79-030,Madison,ROCKINGHAM,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/03-63-108,,,,,,,,
01-44-040,Maggie Valley SD,HAYWOOD,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/60-59-003,,,,,,,,
04-31-035,Magnolia,DUPLIN,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/03-63-117,,,,,,,,
01-18-1930,Maiden,CATAWBA,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/60-59-009,,,,,,,,
04-28-2020,Manteo,DARE,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/03-04-040,,,,,,,,
01-56-010,Marion,MCDOWELL,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/03-63-152,,,,,,,,
01-58-010,Mars Hill,MADISON,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-96-015,,,,,,,,
01-58-015,Marshall,MADISON,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/02-86-010,,,,,,,,
01-90-015,Marshville,UNION,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-97-040,,,,,,,,
60-59-003,Martin County WSD 1,MARTIN,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-49-015,,,,,,,,
60-59-009,Martin County WSD 2,MARTIN,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-16-015,,,,,,,,
04-40-015,MAURY WATER ASSOCIATION,GREENE,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-46-015,,,,,,,,
03-78-035,Maxton,ROBESON,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-54-025,,,,,,,,
02-79-025,Mayodan,ROCKINGHAM,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/40-64-005,,,,,,,,
04-52-010,Maysville,JONES,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/40-64-010,,,,,,,,
01-36-045,McAdenville,GASTON,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-12-015,,,,,,,,
10-56-032,McDowell County - Nebo,MCDOWELL,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-97-015,,,,,,,,
02-01-2018,Mebane,ALAMANCE,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-64-020,,,,,,,,
04-16-0198,Merrimom Comm,CARTERET,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-25-010,,,,,,,,
03-51-045,Micro,JOHNSTON,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-16-020,,,,,,,,
40-51-008,Micro (County Line),JOHNSTON,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/03-82-035,,,,,,,,
04-64-050,Middlesex,NASH,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/02-93-020,,,,,,,,
02-17-2015,Milton,CASWELL,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-16-197,,,,,,,,
02-30-010,Mocksville,DAVIE,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-06-020,,,,,,,,
01-90-010,Monroe,UNION,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-97-010,,,,,,,,
03-62-010,Montgomery County,MONTGOMERY,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/40-66-001,,,,,,,,
01-11-0484,Montreat,BUNCOMBE,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/02-86-025,,,,,,,,
03-63-153,Moore County (Addor),MOORE,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-12-010,,,,,,,,
50-63-021,Moore County (High Falls),MOORE,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-31-010,,,,,,,,
03-63-103,Moore County (Hyland Hills - Niagara),MOORE,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/03-51-020,,,,,,,,
03-63-108,Moore County (Pinehurst),MOORE,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/40-66-002,,,,,,,,
03-63-155,Moore County (Robbins),MOORE,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/03-78-010,,,,,,,,
03-63-117,Moore County (Seven Lakes),MOORE,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-66-113,,,,,,,,
03-63-152,Moore County (The Carolina),MOORE,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-36-020,,,,,,,,
03-63-045,Moore County (Vass),MOORE,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-65-010,,,,,,,,
01-49-015,Mooresville,IREDELL,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-28-010,,,,,,,,
01-97-040,Moravian Falls WW,WILKES,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/10-75-010,,,,,,,,
04-16-2015,Morehead City,CARTERET,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/60-54-001,,,,,,,,
01-12-2015,Morganton,BURKE,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-88-115,,,,,,,,
03-04-1940,Morven,ANSON,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-66-110,,,,,,,,
01-36-020,Mount Holly,GASTON,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-18-015,,,,,,,,
04-96-015,Mount Olive,WAYNE,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-66-108,,,,,,,,
02-86-010,Mt. Airy,SURRY,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-66-045,,,,,,,,
03-62-015,Mt. Gilead,MONTGOMERY,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/03-63-020,,,,,,,,
01-13-2020,Mt. Pleasant,CABARRUS,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-84-015,,,,,,,,
01-97-015,Mulberry-Fairplains WA,WILKES,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-14-040,,,,,,,,
04-46-015,Murfreesboro,HERTFORD,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-84-020,,,,,,,,
01-20-2010,Murphy,CHEROKEE,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-95-118,,,,,,,,
04-54-025,N Lenoir WC,LENOIR,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/50-26-019,,,,,,,,
04-28-2010,Nags Head,DARE,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-10-070,,,,,,,,
40-64-005,Nash County,NASH,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-69-020,,,,,,,,
40-64-010,NASH COUNTY WATER SYSTEM #2,NASH,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/02-01-123,,,,,,,,
04-64-020,Nashville,NASH,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/02-39-010,,,,,,,,
04-10-1965,Navassa,BRUNSWICK,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/03-78-045,,,,,,,,
70-10-055,Navassa-Phoenix,,,,,,,,,,
60-54-001,Neuse Regional Water and Sewer Authority (NRWASA),LENOIR,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/70-10-045,,,,,,,,
04-25-2010,New Bern,CRAVEN,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-59-113,,,,,,,,
01-06-2020,Newland,AVERY,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-23-010,,,,,,,,
04-16-2020,Newport,CARTERET,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-70-015,,,,,,,,
01-18-2015,Newton,CATAWBA,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-10-020,,,,,,,,
03-82-035,Newton Grove,SAMPSON,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/03-04-034,,,,,,,,
02-93-020,Norlina,WARREN,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-84-025,,,,,,,,
04-10-1970,NORTH BRUNSWICK SANITARY DIST,BRUNSWICK,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-10-035,,,,,,,,
04-16-0197,North River Comm,CARTERET,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-16-031,,,,,,,,
01-97-010,North Wilkesboro,WILKES,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/01-03-010,,,,,,,,
40-66-001,Northampton - North Gaston,NORTHAMPTON,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/03-51-040,,,,,,,,
40-66-002,Northampton - West Jackson,NORTHAMPTON,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/03-63-030,,,,,,,,
04-66-113,Northampton-Gaston,NORTHAMPTON,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/03-19-015,,,,,,,,
04-66-110,Northampton-Lake Gaston,NORTHAMPTON,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/20-84-008,,,,,,,,
04-66-108,Northampton-Milwaukee,NORTHAMPTON,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/03-04-030,,,,,,,,
04-66-045,Northampton-Progressive,NORTHAMPTON,https://www.ncwater.org/Water_Supply_Planning/Water_Shortage_Response_Plans/plan/view/04-08-040,,,,,,,,
